date,open,high,low,close,gdelt_sentiment
2014-07-08,1.3607,1.3617,1.3588,1.3611,-0.4063450461253524
2014-07-09,1.3612,1.3647,1.3602,1.364,-0.32019531230131787
2014-07-10,1.364,1.365,1.359,1.3606,-0.10502904653549194
2014-07-11,1.3606,1.3623,1.3593,1.3605,-0.26370632415637374
2014-07-14,1.3605,1.3639,1.3597,1.3619,-0.5569753895203272
2014-07-15,1.362,1.3625,1.3563,1.3568,-0.22872854582965374
2014-07-16,1.3567,1.3571,1.352,1.3525,-0.0006479956209659576
2014-07-17,1.3523,1.3538,1.3516,1.3526,0.09278369694948196
2014-07-18,1.3526,1.3535,1.3492,1.3524,-0.14342111721634865
2014-07-21,1.3526,1.3548,1.3513,1.3523,-0.12179660052061081
2014-07-22,1.3523,1.3529,1.3461,1.3466,-0.39341737926006315
2014-07-23,1.3465,1.3474,1.3455,1.3463,-0.14856561925262213
2014-07-24,1.346,1.3484,1.3441,1.3462,-0.19178467569872737
2014-07-25,1.3462,1.3475,1.3422,1.3434,-0.5674560442566872
2014-07-28,1.3429,1.3444,1.3425,1.344,-0.4098568145185709
2014-07-29,1.3437,1.3443,1.3404,1.3409,-0.17162715457379818
2014-07-30,1.3409,1.3415,1.3368,1.3394,0.135141734033823
2014-07-31,1.3394,1.34,1.3372,1.3387,-0.310535014141351
2014-08-05,1.3422,1.3424,1.3359,1.3371,-0.4475096620619297
2014-08-06,1.3371,1.3386,1.3333,1.3383,0.10030723921954632
2014-08-07,1.3383,1.3391,1.3339,1.3361,-0.41400255002081393
2014-08-08,1.336,1.3431,1.3344,1.341,-0.2715282514691353
2014-08-11,1.3407,1.3407,1.3381,1.3384,-0.2752915620803833
2014-08-12,1.3384,1.3386,1.3337,1.3367,-0.47889868542551994
2014-08-13,1.3367,1.3414,1.3344,1.3363,-0.6533387191593647
2014-08-15,1.3363,1.3409,1.3358,1.3398,-0.3805971425026655
2014-08-18,1.3391,1.3398,1.3353,1.3361,-0.1485415741801262
2014-08-19,1.3362,1.3363,1.3313,1.3318,-0.12810765206813812
2014-08-20,1.3318,1.3325,1.3256,1.3258,-0.6495773593584696
